user_id	ad__cr_id	label	gender	fav_cat1	device_os	device_model	version	device_brand	province	media_source	ad__coverimg_weight	ad__position_1_ctr	ad__ctr	ts	price	ad__parent_cr_id	ad__style	context__position_id	fav_cat2	fav_cat3	applist	user_ctr	user_ctr_7days	ctr_cat_2	ctr_cat_3	ctr_cat_4	ctr_cat_6	ctr_cat_7	ctr_cat_9	ctr_cat_13	ctr_cat_21	ctr_cat_10028	ctr_cat_10032
28589588	840478	0	1	19	android_7.1.1	SM-N950U	3.7.2	samsung	16	googleadwords_int	750	0	0.131413057	1556436964	0.001	840478	19	5	11	7	"[""com.google.android.apps.docs"", ""com.google.android.apps.youtube.kids"", ""com.google.android.gm"", ""com.google.android.youtube"", ""com.epi""]"	0	0	0	0	0	0	0	0	0	0	0	0
28589588	840477	0	1	19	android_7.1.1	SM-N950U	3.7.2	samsung	16	googleadwords_int	750	0	0.131643633	1556454470	0.001	0	19	5	11	7	"[""com.google.android.apps.docs"", ""com.google.android.apps.youtube.kids"", ""com.google.android.gm"", ""com.google.android.youtube"", ""com.epi""]"	0	0	0	0	0	0	0	0	0	0	0	0
28589950	840478	0	2	14	android_5.1.1	A37fw	3.6.0	OPPO	0	master_and_trainee_v3	750	0	0.131413057	1556454101	0.001	840478	19	5	4	9	"[""com.ss.android.ugc.trill"", ""com.zing.mp3"", ""sg.bigo.live"", ""com.google.android.apps.docs"", ""com.google.android.gm"", ""com.google.android.youtube"", ""com.kwai.video""]"	0	0	0	0	0	0	0	0	0	0	0	0
28589950	840477	1	2	14	android_5.1.1	A37fw	3.6.0	OPPO	0	master_and_trainee_v3	750	0	0.131643633	1556449596	0.001	0	19	5	4	9	"[""com.ss.android.ugc.trill"", ""com.zing.mp3"", ""sg.bigo.live"", ""com.google.android.apps.docs"", ""com.google.android.gm"", ""com.google.android.youtube"", ""com.kwai.video""]"	0	0	0	0	0	0	0	0	0	0	0	0
28590313	840416	0	1	10029	ios_12.2	iPhone8	3.3.2	apple	0	Facebook Ads	750	0	0.056537774	1556432497	0.001	0	19	5	8	20	[]	0	0	0	0	0	0	0	0	0	0	0	0
28593433	840478	1	1	9	android_8.0.0	SM-J600G	3.6.0	samsung	0	googleadwords_int	750	0	0.131413057	1556438112	0.001	840478	19	5	7	20	"[""com.zing.mp3"", ""com.google.android.apps.translate"", ""com.google.android.apps.docs"", ""com.google.android.gm"", ""com.google.android.youtube"", ""com.epi""]"	0	0	0	0	0	0	0	0	0	0	0	0
28594047	840478	0	1	10028	android_7.0	SM-A310F	3.6.0	samsung	0	Organic	750	0	0.131413057	1556439038	0.001	840478	19	5	20	10032	"[""com.zing.mp3"", ""com.google.android.apps.docs"", ""com.google.android.gm"", ""com.google.android.youtube""]"	0	0	0	0	0	0	0	0	0	0	0	0
28595024	840391	0	1	10034	ios_12.2	iPhone8	3.3.2	apple	5	unknow	750	0	0.038579813	1556498165	0.001	840391	19	5	23	19	[]	0	0	0	0	0	0	0	0	0	0	0	0
28595024	840416	0	1	10034	ios_12.2	iPhone8	3.3.2	apple	5	unknow	750	0	0.056537774	1556498010	0.001	0	19	5	23	19	[]	0	0	0	0	0	0	0	0	0	0	0	0
28595696	840477	0	1	10024	android_8.1.0	SM-G610F	3.7.2	samsung	0	Organic	750	0	0.131643633	1556444572	0.001	0	19	5	22	3	"[""ht.nct"", ""com.garena.game.kgvn"", ""com.google.android.apps.docs"", ""com.google.android.gm"", ""com.google.android.youtube""]"	0	0	0	0	0	0	0	0	0	0	0	0
